Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Capra hircus;Acacia sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Cassia tora;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Cassia occidentalis;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Croton scouleri;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Psidium galapageium;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Bursera graveolens;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Acalypha parvula;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Desmodium canum;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Zanthoxylum fagara;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Apium sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Commelina diffusa;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Cenchrus platyacanthus;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Paspalum sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Aristida subspicata;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Anthepora hermaphrodita;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Equus asinus;Opuntia galapageia;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Equus asinus;Opuntia galapageia;;;Feeds on;Ecuador;Galapagos Islands;Santiago;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Equus asinus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Equus asinus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;Santiago;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Equus asinus;Calandrinia galapagosa;;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;;;Phenotypic variation in Calandrinia galapagosa (Portulacaceae);
Equus asinus;Lecocarpus leptolobus;;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;;;Phenotypic variation in Calandrinia galapagosa (Portulacaceae);
Equus asinus;Opuntia spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;10.1007/s10530-011-0090-z;
Equus asinus;Sida spp.;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
Equus asinus;Borreria laevis;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
Equus asinus;Hyptis rhomboidea;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
Equus asinus;Polypodiaceae;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
Equus asinus;Hypoxis decumbens;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
Equus asinus;Portulaca oleracea;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;10.2307/3801865;Observation et contenu fécal sur le volcan Alcedo (Isabela)
